"y";"c";"ncomp";"nperc";"area3";"sex";"anasc";"eta";"yearedu"
158800,32809;56450;4;4;1;1;1960;54;13
37874,96123;18400;2;2;1;2;1970;44;16
45936,833749;31600;2;2;1;1;1938;76;13
9237,330563;9300;1;1;1;2;1933;81;5
32050,366528;24940;3;2;1;2;1962;52;11
20350,995845;16800;1;1;1;2;1932;82;0
34708,326408;24500;4;2;1;2;1937;77;13
21958,326408;17400;1;1;1;1;1925;89;5
56333,871225;44000;3;2;2;1;1928;86;5
39720,168425;27100;4;2;2;1;1969;45;13
16560,652815;16200;1;1;2;2;1948;66;5
49534,820174;40600;4;2;2;2;1970;44;13
49546,348783;21600;4;2;2;1;1965;49;8
20333,64866;15900;2;2;2;2;1940;74;5
40704,979223;18500;2;2;2;2;1946;68;11
52688,999401;23800;4;2;2;1;1964;50;16
31652,623325;30000;3;2;2;1;1954;60;13
71598,644504;19080;2;2;2;1;1949;65;13
11400;6000;1;1;2;2;1928;86;0
101366,56971;66000;5;4;2;1;1952;62;13
58566,297069;27000;2;2;2;1;1940;74;18
36401,985647;11388;4;1;2;2;1970;44;13
51803,394051;29100;3;2;2;1;1935;79;13
56863,779674;29200;2;1;2;1;1936;78;13
31467,671635;14400;2;2;2;1;1950;64;5
47547,376513;25600;2;2;2;1;1951;63;8
44057,773618;44600;2;2;2;1;1955;59;8
11662,932225;10800;1;1;2;2;1932;82;5
27215,338728;25200;2;2;2;1;1939;75;8
55751,010331;68300;5;2;2;2;1965;49;13
38455,638478;11800;2;2;2;2;1949;65;8
33361,251054;13800;2;2;2;1;1938;76;8
17935,311481;20400;1;1;2;1;1938;76;5
64105,386768;14400;2;2;2;1;1960;54;13
43702,775367;41320;3;2;2;2;1953;61;11
34669,058912;28800;3;2;2;1;1954;60;18
95239,201745;22400;2;2;2;1;1949;65;11
21392,932225;17632;1;1;2;2;1964;50;11
49243,983378;59100;4;2;2;1;1961;53;8
21136,313941;13330;3;1;2;2;1962;52;13
54585,159315;59750;3;3;2;1;1953;61;13
35778,017687;43680;4;2;2;1;1969;45;11
